,price,volume,market_cap
2019-01-01,3567.7899814215725,1907498839.2454917,67788009647.00988
2019-01-02,3546.274166890589,1482294383.335892,67379209170.921196
2019-01-03,3511.286147252279,645052004.571411,66714436797.793304
2019-01-04,3476.6456300388345,1976770239.3177788,66056266970.737854
2019-01-05,3694.5218405812193,863569299.1535655,70195914971.04317
2019-01-06,3806.0867543839663,2545182903.000365,72315648333.29536
2019-01-07,3732.7093013335916,921713314.1480125,70921476725.33824
2019-01-08,3811.851703531937,939448014.9894078,72425182367.1068
2019-01-09,3846.8387495625484,1253279033.3779323,73089936241.68842
2019-01-10,3550.5121068308817,1658505754.1458616,67459730029.78675
2019-01-11,3404.894084580568,1323010196.739105,64692987607.030785
2019-01-12,3445.9907928922325,1176221456.8467278,65473825064.952415
2019-01-13,3646.292284028487,1264233853.4594488,69279553396.54124
2019-01-14,3611.5392825912504,1392524845.4585044,68619246369.23376
2019-01-15,3531.091129174485,1725692562.196067,67090731454.315216
2019-01-16,3544.992694511881,785540758.9896958,67354861195.72574
2019-01-17,3458.049807452491,1900695122.636902,65702946341.597336
2019-01-18,3415.9731219364553,1301402473.098964,64903489316.79265
2019-01-19,3412.4208890984664,557318630.2875168,64835996892.870865
2019-01-20,3266.340483910043,2661921568.2457247,62060469194.29082
2019-01-21,3372.1757835175636,1281075579.2942166,64071339886.83371
2019-01-22,3205.8137199500657,1911624316.6445096,60910460679.05125
2019-01-23,3033.894130761896,3002459301.628717,57643988484.47603
2019-01-24,3056.26742961963,1785314149.3820436,58069081162.77297
2019-01-25,3145.0173501569234,816477628.5188826,59755329652.981544
2019-01-26,3165.0030901862065,844429226.1638439,60135058713.537926
2019-01-27,3148.779501795773,1138530587.2580855,59826810534.11968
2019-01-28,3109.2807462614146,1020801922.2740232,59076334178.96688
2019-01-29,3050.435895427212,1095782123.9032354,57958282013.11703
2019-01-30,3177.8980208679827,1863116004.3105893,60380062396.49167
2019-01-31,3217.505304054939,688080030.6858232,61132600777.043846
2019-02-01,3166.336380213429,2295268116.244063,60160391224.05515
2019-02-02,3079.018701777898,648451817.166562,58501355333.78006
2019-02-03,3152.8137017380145,2136190491.8870893,59903460333.02228
2019-02-04,3281.2592717275693,2331928512.417062,62343926162.823814
2019-02-05,3401.8495031087286,835641453.7884742,64635140559.06584
2019-02-06,3285.9529097821714,2406070830.7609587,62433105285.86126
2019-02-07,3243.667641080522,1619603298.158763,61629685180.52992
2019-02-08,3179.874528470454,1156549527.7502954,60417616040.93863
2019-02-09,3154.669701171212,1066069574.9654604,59938724322.25303
2019-02-10,3255.6223900536743,2416700140.754272,61856825411.01981
2019-02-11,3430.6107949907355,1857790851.6743007,65181605104.823975
2019-02-12,3478.5207876486784,1870375258.6087375,66091894965.32489
2019-02-13,3387.0190281781847,1694903931.0339315,64353361535.38551
2019-02-14,3380.471779617309,1308921416.1890433,64228963812.728874
2019-02-15,3590.350892672961,1849903306.247915,68216666960.786255
2019-02-16,3601.056897992764,1000503975.3255488,68420081061.86251
2019-02-17,3556.1866702659413,1420211611.9578147,67567546735.05289
2019-02-18,3523.1608073564116,1219176388.907422,66940055339.77182
2019-02-19,3571.725827583312,1858472674.574091,67862790724.082924
2019-02-20,3454.431265353941,2516710694.211337,65634194041.72488
2019-02-21,3383.3726409624646,2064380936.416659,64284080178.28683
2019-02-22,3505.5668138624756,2321470870.991227,66605769463.38704
2019-02-23,3549.912389657282,878507103.1521795,67448335403.48836
2019-02-24,3561.9221052699804,1769050528.3570886,67676520000.12963
2019-02-25,3698.1506643748703,2549441872.4809895,70264862623.12254
2019-02-26,3592.4496644207243,1082536427.947052,68256543623.99376
2019-02-27,3543.5690488449727,1295865653.583578,67327811928.05448
2019-02-28,3583.7701702622076,568335310.3221686,68091633234.98194
2019-03-01,3619.400769066195,1392001369.1867135,68768614612.2577
2019-03-02,3412.6793105900197,1068063550.0111418,64840906901.21037
2019-03-03,3353.5518673308125,1180793681.0913777,63717485479.28544
2019-03-04,3330.2398914158944,1367038113.3914442,63274557936.90199
2019-03-05,3382.398222731168,1797999215.1330373,64265566231.8922
2019-03-06,3415.552542973578,2134189871.9630985,64895498316.497986
2019-03-07,3403.673809225726,908197492.2618263,64669802375.288795
2019-03-08,3140.737119064731,1643577533.2716608,59674005262.22989
2019-03-09,3135.835825993454,563996657.7835175,59580880693.875626
2019-03-10,3141.8227900860643,588238423.8259877,59694633011.63522
2019-03-11,3449.814686951262,1817852493.4918478,65546479052.07398
2019-03-12,3421.5453923478653,776124483.0661262,65009362454.60944
2019-03-13,3461.104936441144,1376873620.6167154,65760993792.38174
2019-03-14,3617.5915713647437,1243685161.4275594,68734239855.93013
2019-03-15,3724.5902396301976,2063291463.3188384,70767214552.97375
2019-03-16,3931.7213044592368,2256829079.9364805,74702704784.7255
2019-03-17,3709.287936236638,2041196334.9735937,70476470788.49612
2019-03-18,3560.4659146200624,786309346.243348,67648852377.78119
2019-03-19,3478.0343311116562,1707303457.0763094,66082652291.12147
2019-03-20,3260.5648879762043,2385498179.439569,61950732871.54788
2019-03-21,3267.876766662925,778627538.8984869,62089658566.59557
2019-03-22,3146.060224529214,2615256656.4142547,59775144266.05506
2019-03-23,3339.534673707151,1140625955.786825,63451158800.43587
2019-03-24,3233.2368452482115,2487687880.573576,61431500059.71602
