,price,volume,market_cap
2019-01-01,0.001028802849180674,2058257.8252278913,1028802.8491806741
2019-01-02,0.0010192392439124,1527942.6811717993,1019239.2439124
2019-01-03,0.0010039005061517345,675483.1112765977,1003900.5061517345
2019-01-04,0.0009887935930701763,2070021.410192123,988793.5930701763
2019-01-05,0.0010814957303211877,1028588.386154887,1081495.7303211878
2019-01-06,0.0011302128775636108,2835454.8034334444,1130212.8775636107
2019-01-07,0.0010972463048858501,998133.0894437197,1097246.30488585
2019-01-08,0.0011318683787611688,1019680.8731820859,1131868.3787611688
2019-01-09,0.0011471686770247365,1303089.9922654035,1147168.6770247365
2019-01-10,0.0010143301983252127,2021678.8853460038,1014330.1983252127
2019-01-11,0.0009516751566573617,1517752.351139251,951675.1566573617
2019-01-12,0.0009686671642693102,1236936.9458874718,968667.1642693102
2019-01-13,0.0010528820473134038,1494596.6668873099,1052882.0473134038
2019-01-14,0.0010375662164566239,1456289.8185215993,1037566.2164566239
2019-01-15,0.0010026386628127707,1886408.4975626522,1002638.6628127707
2019-01-16,0.0010083089407713038,798528.5802552477,1008308.9407713038
2019-01-17,0.0009709628701574348,2091683.787920656,970962.8701574348
2019-01-18,0.0009529984792569016,1374889.9111952682,952998.4792569015
2019-01-19,0.0009512737106986783,561565.5115490436,951273.7106986783
2019-01-20,0.000889952080973914,3065552.002317296,889952.080973914
2019-01-21,0.0009329836622661845,1435411.1453389314,932983.6622661845
2019-01-22,0.0008637090478276554,2230585.7141628233,863709.0478276554
2019-01-23,0.0007940153603219055,3531386.423973773,794015.3603219055
2019-01-24,0.0008025999956695058,1842464.858464625,802599.9956695058
2019-01-25,0.0008373589921082198,906765.2193566897,837358.9921082198
2019-01-26,0.0008451314393891047,867671.7566973352,845131.4393891047
2019-01-27,0.0008384220279882565,1168995.4534563522,838422.0279882564
2019-01-28,0.0008224364876948244,1079958.6684497648,822436.4876948243
2019-01-29,0.0007988832832340759,1185275.808000645,798883.2832340759
2019-01-30,0.0008487554364425307,2134366.8337853537,848755.4364425307
2019-01-31,0.0008644107628593506,724677.4983551075,864410.7628593505
2019-02-01,0.0008435741960297941,2457687.7979279584,843574.196029794
2019-02-02,0.0008084685859027855,719806.8458463547,808468.5859027855
2019-02-03,0.0008373313811730493,2338381.686132802,837331.3811730492
2019-02-04,0.0008882913450414936,2665297.744811062,888291.3450414935
2019-02-05,0.0009370379378736599,946401.0244381407,937037.9378736599
2019-02-06,0.0008889181804925073,2716265.3145817765,888918.1804925073
2019-02-07,0.0008715373921603692,1715518.7200930791,871537.3921603692
2019-02-08,0.0008456087588296818,1254003.7340451302,845608.7588296818
2019-02-09,0.0008353434586615153,1107686.3083857307,835343.4586615154
2019-02-10,0.0008752324030466875,2705063.6064145016,875232.4030466875
2019-02-11,0.0009455786838024898,2179504.2776706317,945578.6838024898
2019-02-12,0.0009651504241134937,1980871.15751812,965150.4241134936
2019-02-13,0.0009268270174037124,1874752.7878646608,926827.0174037125
2019-02-14,0.0009239079179278888,1324542.7503572518,923907.9179278888
2019-02-15,0.0010097192097504929,2201345.916784116,1009719.2097504928
2019-02-16,0.001013983076357895,1012560.1422520418,1013983.076357895
2019-02-17,0.000994777789696797,1502046.5396550624,994777.7896967969
2019-02-18,0.0009806715290046088,1273766.3270457943,980671.5290046087
2019-02-19,0.0010007034653674758,1966962.3411843134,1000703.4653674758
2019-02-20,0.0009511590208935494,2832529.1682563615,951159.0208935494
